,Weibull_LLV,Weibull_AIC,Exponential_LLV,Exponential_AIC,LogLogistic_LLV,LogLogistic_AIC,LogNormal_LLV,LogNormal_AIC,GeneralizedGamma_LLV,GeneralizedGamma_AIC,Best_Model,Best_AIC,Best_LLV,AIC_spread
Conductor,-933.50,1870.99 ✓,-947.85,1897.70,-933.58,1871.16,-934.39,1872.78,-933.42,1872.84,Weibull,1870.99,-933.50,26.71
Damper,-2621.04,5246.08 ✓,-2654.53,5311.07,-2621.48,5246.95,-2621.38,5246.77,-2620.85,5247.69,Weibull,5246.08,-2621.04,64.99
Spacer,-2174.92,4353.84 ✓,-2203.76,4409.52,-2175.67,4355.35,-2176.96,4357.92,-2174.25,4354.50,Weibull,4353.84,-2174.92,55.68
Insulator,-3924.57,7853.15,-3971.55,7945.10,-3927.05,7858.10,-3926.15,7856.30,-3922.64,7851.28 ✓,GeneralizedGamma,7851.28,-3922.64,93.82
Fittings,-1151.42,2306.83 ✓,-1166.27,2334.54,-1151.55,2307.10,-1152.43,2308.86,-1151.30,2308.60,Weibull,2306.83,-1151.42,27.71
Arrester,-4685.71,9375.42 ✓,-4789.84,9581.67,-4688.70,9381.40,-4694.61,9393.23,-4685.30,9376.60,Weibull,9375.42,-4685.71,206.25
