group,N,n_events,n_censored,censoring_rate,event_rate,min_days,median_days,mean_days,max_days,std_days
Overall,10080,1547,8533,0.8465,0.1535,365,1820.5,1794.6,2646,505.4
Conductor,1680,82,1598,0.9512,0.0488,365,1895.5,1880.5,2646,448.2
Damper,1680,256,1424,0.8476,0.1524,365,1811.5,1786.3,2646,505.6
Spacer,1680,208,1472,0.8762,0.1238,365,1842.0,1818.9,2646,495.9
Insulator,1680,402,1278,0.7607,0.2393,365,1748.5,1718.8,2646,554.0
Fittings,1680,103,1577,0.9387,0.0613,365,1876.5,1865.3,2646,457.3
Arrester,1680,496,1184,0.7048,0.2952,365,1706.5,1697.6,2646,535.3
