,H(t=365d),H_lower(t=365d),H_upper(t=365d),H(t=730d),H_lower(t=730d),H_upper(t=730d),H(t=1095d),H_lower(t=1095d),H_upper(t=1095d),H(t=1460d),H_lower(t=1460d),H_upper(t=1460d),H(t=1825d),H_lower(t=1825d),H_upper(t=1825d),H(t=2190d),H_lower(t=2190d),H_upper(t=2190d)
Conductor,0.005968,0.003211,0.011093,0.009567,0.005861,0.015616,0.016197,0.011108,0.023619,0.027371,0.020358,0.036801,0.043003,0.03339,0.055383,0.063277,0.049437,0.080992
Damper,0.021655,0.01562,0.030021,0.03821,0.029849,0.048913,0.070248,0.058465,0.084405,0.095757,0.081557,0.11243,0.148417,0.128868,0.170933,0.219139,0.190501,0.252081
Spacer,0.017407,0.012097,0.02505,0.028979,0.021838,0.038454,0.053159,0.043083,0.065591,0.074403,0.062091,0.089155,0.108894,0.092734,0.12787,0.161612,0.137963,0.189316
Insulator,0.037592,0.029308,0.048217,0.070886,0.059043,0.085105,0.110631,0.095429,0.128254,0.16474,0.145416,0.186631,0.231209,0.206351,0.259063,0.312877,0.279335,0.350446
Fittings,0.007766,0.004509,0.013374,0.014988,0.010128,0.022182,0.022263,0.016131,0.030728,0.034433,0.026419,0.044878,0.056035,0.044754,0.07016,0.081022,0.065321,0.100499
Arrester,0.032046,0.024482,0.041947,0.058192,0.04759,0.071155,0.116631,0.100971,0.134719,0.188262,0.16734,0.211799,0.304306,0.274434,0.337431,0.461596,0.416547,0.511518
