,Weibull_LLV,Weibull_AIC,Exponential_LLV,Exponential_AIC,LogLogistic_LLV,LogLogistic_AIC,LogNormal_LLV,LogNormal_AIC,GeneralizedGamma_LLV,GeneralizedGamma_AIC,Best_Model,Best_AIC,Best_LLV,AIC_spread
Conductor,-933.497,1870.99,-947.8489,1897.7,-933.5817,1871.16,-934.3894,1872.78,-933.4202,1872.84,Weibull,1870.99,-933.497,26.71
Damper,-2621.0377,5246.08,-2654.5337,5311.07,-2621.4761,5246.95,-2621.3844,5246.77,-2620.8469,5247.69,Weibull,5246.08,-2621.0377,64.99
Spacer,-2174.9201,4353.84,-2203.759,4409.52,-2175.6745,4355.35,-2176.9623,4357.92,-2174.2511,4354.5,Weibull,4353.84,-2174.9201,55.68
Insulator,-3924.5733,7853.15,-3971.5524,7945.1,-3927.0499,7858.1,-3926.1475,7856.3,-3922.642,7851.28,GeneralizedGamma,7851.28,-3922.642,93.82
Fittings,-1151.416,2306.83,-1166.2684,2334.54,-1151.5499,2307.1,-1152.4305,2308.86,-1151.2994,2308.6,Weibull,2306.83,-1151.416,27.71
Arrester,-4685.7087,9375.42,-4789.8353,9581.67,-4688.7014,9381.4,-4694.614,9393.23,-4685.302,9376.6,Weibull,9375.42,-4685.7087,206.25
