,S(t=365d),S_lower(t=365d),S_upper(t=365d),S(t=730d),S_lower(t=730d),S_upper(t=730d),S(t=1095d),S_lower(t=1095d),S_upper(t=1095d),S(t=1460d),S_lower(t=1460d),S_upper(t=1460d),S(t=1825d),S_lower(t=1825d),S_upper(t=1825d),S(t=2190d),S_lower(t=2190d),S_upper(t=2190d),median_survival_days
Conductor,0.994,0.989,0.9968,0.9905,0.9845,0.9942,0.9839,0.9767,0.989,0.973,0.9639,0.9798,0.9579,0.9461,0.9671,0.9387,0.9222,0.9517,inf
Damper,0.9786,0.9704,0.9845,0.9625,0.9523,0.9706,0.9321,0.919,0.9432,0.9087,0.8936,0.9217,0.862,0.8428,0.879,0.8031,0.7771,0.8265,inf
Spacer,0.9827,0.9753,0.988,0.9714,0.9623,0.9784,0.9482,0.9365,0.9578,0.9283,0.9147,0.9398,0.8968,0.8799,0.9114,0.8507,0.8274,0.8711,inf
Insulator,0.9631,0.9529,0.9711,0.9315,0.9184,0.9426,0.8952,0.8796,0.909,0.8481,0.8297,0.8646,0.7935,0.7717,0.8135,0.7312,0.7042,0.7562,inf
Fittings,0.9923,0.9867,0.9955,0.9851,0.9781,0.9899,0.978,0.9697,0.984,0.9661,0.9561,0.9739,0.9455,0.9322,0.9562,0.9221,0.9043,0.9367,inf
Arrester,0.9685,0.9589,0.9758,0.9435,0.9313,0.9535,0.8899,0.8739,0.9039,0.8283,0.8091,0.8459,0.7375,0.7135,0.7599,0.6301,0.5994,0.6592,inf
